substation,year,month,day,hour,consumption
BUIN,2022,3,2,4,70.91132
BUIN,2022,3,2,4,-0.230716
BUIN,2022,3,2,4,-0.113527
BUIN,2022,3,2,5,56.361325
BUIN,2022,3,2,5,-128.133914
BUIN,2022,3,2,5,70.513299
BUIN,2022,3,2,5,-0.230716
BUIN,2022,3,2,5,-0.113527
BUIN,2022,3,2,6,58.441142
BUIN,2022,3,2,6,71.49017
BUIN,2022,3,2,6,-131.170011
BUIN,2022,3,2,6,-0.230716
BUIN,2022,3,2,6,-0.113527
BUIN,2022,3,2,7,66.151599
BUIN,2022,3,2,7,-148.925686
BUIN,2022,3,2,7,81.792456
BUIN,2022,3,2,7,-0.113527
BUIN,2022,3,2,7,-0.230716
BUIN,2022,3,2,8,75.234465
BUIN,2022,3,2,8,89.27869
BUIN,2022,3,2,8,-165.206744
BUIN,2022,3,2,8,-0.230716
BUIN,2022,3,2,8,-0.113527
BUIN,2022,3,2,9,79.44143
BUIN,2022,3,2,9,94.866568
BUIN,2022,3,2,9,-175.000759
BUIN,2022,3,2,9,-0.230716
BUIN,2022,3,2,9,-0.113527
BUIN,2022,3,2,10,87.417018
BUIN,2022,3,2,10,-190.781144
BUIN,2022,3,2,10,102.631245
BUIN,2022,3,2,10,-0.230716
BUIN,2022,3,2,10,-0.113527
BUIN,2022,3,2,11,93.074451
BUIN,2022,3,2,11,-202.948613
BUIN,2022,3,2,11,109.16493
BUIN,2022,3,2,11,-0.230716
BUIN,2022,3,2,11,-0.113527
BUIN,2022,3,2,12,-210.518797
BUIN,2022,3,2,12,113.944626
BUIN,2022,3,2,12,-0.113527
BUIN,2022,3,2,12,95.871043
BUIN,2022,3,2,12,-0.230716
BUIN,2022,3,2,13,115.077586
BUIN,2022,3,2,13,-0.113527
BUIN,2022,3,2,13,-212.154238
BUIN,2022,3,2,13,96.366167
BUIN,2022,3,2,13,-0.230716
BUIN,2022,3,2,14,100.122117
BUIN,2022,3,2,14,117.645203
BUIN,2022,3,2,14,-218.486773
BUIN,2022,3,2,14,-0.230716
BUIN,2022,3,2,14,-0.113527
BUIN,2022,3,2,15,100.839869
BUIN,2022,3,2,15,120.294918
BUIN,2022,3,2,15,-221.848233
BUIN,2022,3,2,15,-0.230716
BUIN,2022,3,2,15,-0.113527
BUIN,2022,3,2,16,102.799273
