substation,year,month,day,hour,consumption
AJAHUEL,2022,3,2,7,-10.786121
AJAHUEL,2022,3,2,7,-11.163431
AJAHUEL,2022,3,2,7,64.527912
AJAHUEL,2022,3,2,7,60.997808
AJAHUEL,2022,3,2,8,-10.033863
AJAHUEL,2022,3,2,8,-10.389663
AJAHUEL,2022,3,2,8,73.603601
AJAHUEL,2022,3,2,8,69.856633
AJAHUEL,2022,3,2,9,-10.0356
AJAHUEL,2022,3,2,9,-10.404915
AJAHUEL,2022,3,2,9,75.049676
AJAHUEL,2022,3,2,9,72.825737
AJAHUEL,2022,3,2,10,-11.219885
AJAHUEL,2022,3,2,10,-11.597853
AJAHUEL,2022,3,2,10,83.946292
AJAHUEL,2022,3,2,10,83.472126
AJAHUEL,2022,3,2,11,-9.055951
AJAHUEL,2022,3,2,11,90.636062
AJAHUEL,2022,3,2,11,90.485063
AJAHUEL,2022,3,2,11,-8.683429
AJAHUEL,2022,3,2,12,-8.480723
AJAHUEL,2022,3,2,12,95.961754
AJAHUEL,2022,3,2,12,95.790684
AJAHUEL,2022,3,2,12,-8.085209
AJAHUEL,2022,3,2,13,-8.085531
AJAHUEL,2022,3,2,13,-8.474967
AJAHUEL,2022,3,2,13,100.156933
AJAHUEL,2022,3,2,13,99.500046
AJAHUEL,2022,3,2,14,-8.074163
AJAHUEL,2022,3,2,14,-8.460991
AJAHUEL,2022,3,2,14,104.799405
AJAHUEL,2022,3,2,14,103.578595
AJAHUEL,2022,3,2,15,-7.88889
AJAHUEL,2022,3,2,15,-8.264021
AJAHUEL,2022,3,2,15,105.665205
AJAHUEL,2022,3,2,15,104.198523
AJAHUEL,2022,3,2,16,-7.483475
AJAHUEL,2022,3,2,16,-7.862936
AJAHUEL,2022,3,2,16,107.170052
AJAHUEL,2022,3,2,16,105.723111
AJAHUEL,2022,3,2,17,-7.463838
AJAHUEL,2022,3,2,17,-7.873223
AJAHUEL,2022,3,2,17,102.993847
AJAHUEL,2022,3,2,17,104.270403
AJAHUEL,2022,3,2,18,-7.461875
AJAHUEL,2022,3,2,18,-7.87005
AJAHUEL,2022,3,2,18,101.218809
AJAHUEL,2022,3,2,18,99.970094
AJAHUEL,2022,3,2,19,-7.453146
AJAHUEL,2022,3,2,19,-7.85738
AJAHUEL,2022,3,2,19,96.484925
AJAHUEL,2022,3,2,19,95.131343
AJAHUEL,2022,3,2,20,-15.794683
AJAHUEL,2022,3,2,20,-16.193574
AJAHUEL,2022,3,2,20,97.118606
AJAHUEL,2022,3,2,20,95.581363
AJAHUEL,2022,3,2,21,-22.145611
AJAHUEL,2022,3,2,21,-22.52957
AJAHUEL,2022,3,2,21,101.55435
AJAHUEL,2022,3,2,21,99.862202
AJAHUEL,2022,3,2,22,-26.58152
AJAHUEL,2022,3,2,22,-26.962828
AJAHUEL,2022,3,2,22,108.148721
AJAHUEL,2022,3,2,22,107.273034
AJAHUEL,2022,3,2,23,-31.122539
AJAHUEL,2022,3,2,23,105.462338
AJAHUEL,2022,3,2,23,105.390597
AJAHUEL,2022,3,2,23,-30.745044
AJAHUEL,2022,3,3,0,-31.727096
AJAHUEL,2022,3,3,0,94.629323
AJAHUEL,2022,3,3,0,96.066884
AJAHUEL,2022,3,3,0,-31.353448
AJAHUEL,2022,3,3,1,-29.08783
AJAHUEL,2022,3,3,1,8.843062
AJAHUEL,2022,3,3,1,113.575114
AJAHUEL,2022,3,3,1,-28.705359
AJAHUEL,2022,3,3,2,-28.452647
AJAHUEL,2022,3,3,2,-28.834423
AJAHUEL,2022,3,3,2,-2.605392
AJAHUEL,2022,3,3,2,104.876943
AJAHUEL,2022,3,3,3,-30.875226
AJAHUEL,2022,3,3,3,-31.248168
AJAHUEL,2022,3,3,3,-2.597108
AJAHUEL,2022,3,3,3,96.073168
AJAHUEL,2022,3,3,4,-31.482279
AJAHUEL,2022,3,3,4,-2.603147
AJAHUEL,2022,3,3,4,91.115544
AJAHUEL,2022,3,3,4,-31.121921
AJAHUEL,2022,3,3,5,-20.377836
AJAHUEL,2022,3,3,5,-2.595176
AJAHUEL,2022,3,3,5,84.336832
AJAHUEL,2022,3,3,5,-19.992317
AJAHUEL,2022,3,3,6,-11.316009
AJAHUEL,2022,3,3,6,-11.688821
AJAHUEL,2022,3,3,6,-2.575563
AJAHUEL,2022,3,3,6,81.152426
AJAHUEL,2022,3,3,7,-11.684676
AJAHUEL,2022,3,3,7,-12.060965
AJAHUEL,2022,3,3,7,-2.595776
AJAHUEL,2022,3,3,7,94.582399
AJAHUEL,2022,3,3,8,-10.844197
AJAHUEL,2022,3,3,8,-11.206944
AJAHUEL,2022,3,3,8,75.346657
AJAHUEL,2022,3,3,8,77.44311
AJAHUEL,2022,3,3,9,-10.245031
AJAHUEL,2022,3,3,9,-10.580811
AJAHUEL,2022,3,3,9,80.29354
AJAHUEL,2022,3,3,9,79.559312
AJAHUEL,2022,3,3,10,-10.349461
AJAHUEL,2022,3,3,10,90.236627
AJAHUEL,2022,3,3,10,90.362572
AJAHUEL,2022,3,3,10,-10.011489
AJAHUEL,2022,3,3,11,-9.970834
AJAHUEL,2022,3,3,11,97.862533
AJAHUEL,2022,3,3,11,98.143443
AJAHUEL,2022,3,3,11,-9.605322
AJAHUEL,2022,3,3,12,-9.048088
AJAHUEL,2022,3,3,12,-9.430394
AJAHUEL,2022,3,3,12,94.847039
AJAHUEL,2022,3,3,12,95.609857
AJAHUEL,2022,3,3,13,-9.04931
AJAHUEL,2022,3,3,13,-9.416534
AJAHUEL,2022,3,3,13,98.609837
AJAHUEL,2022,3,3,13,99.119477
AJAHUEL,2022,3,3,14,-9.059295
AJAHUEL,2022,3,3,14,-9.434047
AJAHUEL,2022,3,3,14,103.40539
AJAHUEL,2022,3,3,14,103.105661
AJAHUEL,2022,3,3,15,-8.707211
AJAHUEL,2022,3,3,15,-9.086835
AJAHUEL,2022,3,3,15,108.003752
AJAHUEL,2022,3,3,15,108.057204
AJAHUEL,2022,3,3,16,-8.455246
AJAHUEL,2022,3,3,16,-8.851692
AJAHUEL,2022,3,3,16,111.875682
AJAHUEL,2022,3,3,16,111.595451
AJAHUEL,2022,3,3,17,-8.378661
AJAHUEL,2022,3,3,17,-8.776831
AJAHUEL,2022,3,3,17,111.69164
AJAHUEL,2022,3,3,17,110.954999
AJAHUEL,2022,3,3,18,-7.080511
AJAHUEL,2022,3,3,18,-7.473501
AJAHUEL,2022,3,3,18,107.234049
AJAHUEL,2022,3,3,18,105.777385
AJAHUEL,2022,3,3,19,-7.064988
AJAHUEL,2022,3,3,19,-7.467833
AJAHUEL,2022,3,3,19,102.31616
AJAHUEL,2022,3,3,19,99.647867
AJAHUEL,2022,3,3,20,-7.058954
AJAHUEL,2022,3,3,20,-7.47129
AJAHUEL,2022,3,3,20,101.285508
AJAHUEL,2022,3,3,20,99.329297
AJAHUEL,2022,3,3,21,-7.107484
AJAHUEL,2022,3,3,21,-7.512518
AJAHUEL,2022,3,3,21,106.349043
AJAHUEL,2022,3,3,21,104.576494
AJAHUEL,2022,3,3,22,-12.743927
AJAHUEL,2022,3,3,22,110.462227
AJAHUEL,2022,3,3,22,109.343868
AJAHUEL,2022,3,3,22,-12.345681
AJAHUEL,2022,3,3,23,-22.405667
AJAHUEL,2022,3,3,23,-22.798606
AJAHUEL,2022,3,3,23,105.531147
AJAHUEL,2022,3,3,23,105.153312
AJAHUEL,2022,3,4,0,-25.247231
AJAHUEL,2022,3,4,0,-25.615419
AJAHUEL,2022,3,4,0,93.166753
AJAHUEL,2022,3,4,0,94.072256
AJAHUEL,2022,3,4,1,-16.23462
AJAHUEL,2022,3,4,1,-16.642817
AJAHUEL,2022,3,4,1,6.858514
AJAHUEL,2022,3,4,1,108.36834
AJAHUEL,2022,3,4,2,-12.368885
AJAHUEL,2022,3,4,2,-12.796353
AJAHUEL,2022,3,4,2,-2.599571
AJAHUEL,2022,3,4,2,98.008928
AJAHUEL,2022,3,4,3,-12.373646
AJAHUEL,2022,3,4,3,-12.792139
AJAHUEL,2022,3,4,3,-2.585456
AJAHUEL,2022,3,4,3,89.874335
AJAHUEL,2022,3,4,4,-12.117935
AJAHUEL,2022,3,4,4,-12.501737
AJAHUEL,2022,3,4,4,-2.610736
AJAHUEL,2022,3,4,4,82.980387
AJAHUEL,2022,3,4,5,-10.663066
AJAHUEL,2022,3,4,5,-11.067342
AJAHUEL,2022,3,4,5,-2.588208
AJAHUEL,2022,3,4,5,81.29443
AJAHUEL,2022,3,4,6,-10.111899
AJAHUEL,2022,3,4,6,-10.464029
AJAHUEL,2022,3,4,6,7.975995
AJAHUEL,2022,3,4,6,79.210062
AJAHUEL,2022,3,4,7,-9.669932
AJAHUEL,2022,3,4,7,-10.042142
AJAHUEL,2022,3,4,7,69.737605
AJAHUEL,2022,3,4,7,68.908637
AJAHUEL,2022,3,4,8,-9.42994
AJAHUEL,2022,3,4,8,-9.839089
AJAHUEL,2022,3,4,8,80.424876
AJAHUEL,2022,3,4,8,79.066717
AJAHUEL,2022,3,4,9,-8.144262
AJAHUEL,2022,3,4,9,84.631905
